NAME	TYPE	REPO	VERSION	SOURCES	NOTES
linux	Kernel	CORE	6.4.11	https://kernel.org	The Linux Kernel
toybox	Userland	CORE	0.8.11	https://github.com/landley/toybox	Minimalist Userland for Linux
musl	Lib	CORE	1.2.4	https://musl.libc.org	A compact C library
dropbear	Server	BASE	2022.83	https://github.com/mkj/dropbear	A lightweight SSH Server & Client
enc	Tool	BASE	1.1.2	https://github.com/life4/enc	Encrypt / Decrypt Files
ne	Tool	BASE	3.3.2	https://github.com/vigna/ne	Editor
nail	Tool	BASE	11.25	https://sourceforge.net/projects/nail/	Heirloom mailx - a CLI eMail Client
tmux	Tool	MAIN	3.3a	https://github.com/tmux/tmux	Terminal Multiplexer
curl	Tool	MAIN	8.2.1	https://curl.se/download.html	Download / Upload Files
lynx	Tool	MAIN	2.8.9	https://lynx.invisible-island.net	CLI Browser
aerc	Tool	MAIN	0.15.2	https://git.sr.ht/~rjarry/aerc	CLI eMail Client
btop	Tool	MAIN	1.2.13	https://github.com/aristocratos/btop	Resource Monitor
aria2	Tool	MAIN	1.36.0	https://github.com/aria2/aria2	Multi-Protocol & Multi-Source Downloader
mc	Tool	MAIN	4.8.30	https://midnight-commander.org/	Midnight Commander - A File Browser
ncurses	Lib	MAIN	6.4	https://invisible-island.net/ncurses/	Dependency for some tools.
fish	Shell	XTRA	3.6.1	https://github.com/fish-shell/fish-shell	Friendly Interactive SHell
zsh	Shell	XTRA	5.8	https://www.zsh.org	Z Shell
onions-tui	Tool	XTRA	2.6	https://github.com/onionshare/onionshare	OnionShare - A Filesharing & Chat Suite using Tor
weechat	Tool	XTRA	4.0.3	https://weechat.org/download/	IRC Chat Client
profanity	Tool	XTRA	0.14.0	https://github.com/profanity-im/profanity	XMPP Chat Client
zulip-tui	Tool	XTRA	0.7.0	https://github.com/zulip/zulip-terminal	Zulip Chat Client
monero	Tool	XTRA	0.18.2.2	https://github.com/monero-project/monero	Monero CLI Wallet
devtoolz	Dev	XTRA	-	-	Metapackage for the entire build envoirment. Includes musl, gcc, git, etc.
browsh	Tool	XTRA	v1.8.2	https://github.com/browsh-org/browsh	A TrueColor Terminal Browser, requires mosh
mosh	Server	XTRA	1.4.0	https://github.com/mobile-shell/mosh	MobileSHell: A high-latency and roaming-capable alternative to SSH
xmrig	Server	SERV	6.20.0	https://github.com/xmrig/xmrig	Monero Miner
oshi	Server	SERV	20221001	https://github.com/somenonymous/OshiUpload	File Hosting [CLI supported]
ntfy	Server	SERV	v2.7.0	https://github.com/binwiederhier/ntfy	Notification Server [CLI Supported]
tor	Server	SERV	0.4.7.14	https://www.torproject.org/de/download/tor/	The Onion Router [Anonymization Network]
